 
 --- mi-faser 1.58 (10/25/19) ---
    - [ DIAMOND v0.9.21 ] -
    - [ Database:database build:122 Sequences:2865 ] -
 
[1602770120.702055]      *** Running mifaser with up to 28 parallel thread(s)
[1602774514.175446]      *** Post-processing...
[1602769968.0810971]     *** Input: Uncompressed file ERR598981_cut20M.fastq
[1602769968.0811224]         Converting ERR598981_cut20M.fastq from fastq to fasta format...
[1602770040.4991229]         Getting input file statistics...
[1602770040.4992127]         Input file size: 3466MB
[1602770052.5089478]         Input file reads: 20000000
[1602770135.3683982]         [Thread #5]    - [Thread #5] running on [1/28] CPUs
[1602770135.3684897]         [Thread #5]      Creating output directories...
[1602770135.3780327]         [Thread #5]      Translating reads...
[1602770135.3810356]         [Thread #5]  >>> [Thread #5] ERROR. logs: /scratch/ah1114/LoL/TransferLearningTasks/EC1/mifaser_metagenomes/ERR598981_cut20M/splits/ERR598981_cut20M_5/analyzed/mifaser.err
[1602770138.0000517]         [Thread #6]    - [Thread #6] running on [1/28] CPUs
[1602770138.0001287]         [Thread #6]      Creating output directories...
[1602770138.0026011]         [Thread #6]      Translating reads...
[1602770153.2855568]         [Thread #6]      Running DIAMOND...
[1602770159.1687746]         [Thread #6]      Converting DIAMOND...
[1602770159.299319]          [Thread #6]      Parsing DIAMOND...
[1602770159.4472501]         [Thread #6]      Annotating...
[1602770159.7796133]         [Thread #6]      Analyzing...
[1602770159.9833863]         [Thread #6]      Create read mapping...
[1602770176.2408562]         [Thread #6]    - [Thread #6] finished
[1602770155.516344]          [Thread #7]    - [Thread #7] running on [1/28] CPUs
[1602770155.516429]          [Thread #7]      Creating output directories...
[1602770155.5196068]         [Thread #7]      Translating reads...
[1602770176.1191711]         [Thread #7]      Running DIAMOND...
[1602770182.1370788]         [Thread #7]      Converting DIAMOND...
[1602770182.2475538]         [Thread #7]      Parsing DIAMOND...
[1602770182.4417622]         [Thread #7]      Annotating...
[1602770182.6516519]         [Thread #7]      Analyzing...
[1602770182.9696786]         [Thread #7]      Create read mapping...
[1602770199.089711]          [Thread #7]    - [Thread #7] finished
[1602770178.4384809]         [Thread #8]    - [Thread #8] running on [1/28] CPUs
[1602770178.4385622]         [Thread #8]      Creating output directories...
[1602770178.4401429]         [Thread #8]      Translating reads...
[1602770198.5935242]         [Thread #8]      Running DIAMOND...
[1602770204.541924]          [Thread #8]      Converting DIAMOND...
[1602770204.6383898]         [Thread #8]      Parsing DIAMOND...
[1602770205.0416234]         [Thread #8]      Annotating...
[1602770205.1618714]         [Thread #8]      Analyzing...
[1602770205.3263392]         [Thread #8]      Create read mapping...
[1602770222.0764046]         [Thread #8]    - [Thread #8] finished
[1602770200.9845386]         [Thread #9]    - [Thread #9] running on [1/28] CPUs
[1602770200.9846213]         [Thread #9]      Creating output directories...
[1602770200.9863832]         [Thread #9]      Translating reads...
[1602770222.030986]          [Thread #9]      Running DIAMOND...
[1602770227.9723482]         [Thread #9]      Converting DIAMOND...
[1602770228.1018226]         [Thread #9]      Parsing DIAMOND...
